Date,Open,High,Low,Close,Volume,Ticker
2023-01-03,128.22380927578908,128.83401910387516,122.21024188035268,123.09603881835938,112117500,AAPL
2023-01-04,124.88729543343348,126.62936374107429,123.10586505340991,124.36566162109375,89113600,AAPL
2023-01-05,125.12350481122068,125.75340309203497,122.79091532129203,123.04680633544922,80962700,AAPL
2023-01-06,124.02118700839063,128.23362708296847,122.91886125861728,127.57420349121094,87754700,AAPL
2023-01-09,128.4107665197256,131.30436630158056,127.83991897613902,128.09580993652344,70790800,AAPL
2023-01-10,128.2041342180523,129.18835147296187,126.09790989326439,128.66671752929688,63896200,AAPL
2023-01-11,129.17849644752224,131.402821722743,128.40097153395064,131.38314819335938,69458900,AAPL
2023-01-12,131.76696547602162,132.14095769176564,129.36547379890666,131.30438232421875,71379600,AAPL
2023-01-13,129.94616380817476,132.7905502170586,129.58200833933589,132.63307189941406,57809700,AAPL
2023-01-17,132.7019674841355,135.12313266732727,132.01301865225,133.79444885253906,63646600,AAPL
2023-01-18,134.6605787592018,136.42232060237055,132.8988218980733,133.07598876953125,69672800,AAPL
2023-01-19,131.96381962844052,134.0995687562006,131.65871475561192,133.13504028320312,58280400,AAPL
2023-01-20,133.14486670992753,135.84162653742413,132.1015991542997,135.69398498535156,80223600,AAPL
2023-01-23,135.94007397852303,141.05801539977267,135.72354499448727,138.8828887939453,81760300,AAPL
2023-01-24,138.0955235077339,140.90054874979387,138.08568674144692,140.28048706054688,66435100,AAPL
2023-01-25,138.6663258108729,140.18201330953534,136.61915274790366,139.6210174560547,65799300,AAPL
2023-01-26,140.91037200424128,141.97332836189656,139.6604119793185,141.6879119873047,54105100,AAPL
2023-01-27,140.90049992434123,144.9062550377642,140.82176076743906,143.62677001953125,70555800,AAPL
2023-01-30,142.6721140707524,143.2527985417942,140.59541543784155,140.7430419921875,64015300,AAPL
2023-01-31,140.4477784546675,142.06189391275458,140.0344090710312,142.01268005371094,65874500,AAPL
2023-02-01,141.69774073810188,144.29607334830789,139.08957136310852,143.1346893310547,77663600,AAPL
2023-02-02,146.54992610628193,148.79393998354684,145.83145179927072,148.43963623046875,118339000,AAPL
2023-02-03,145.69363837431163,154.8960731461596,145.4967979818679,152.0615234375,154357300,AAPL
2023-02-06,150.16198925829823,150.68362304726807,148.40023248441526,149.33523559570312,69858300,AAPL
2023-02-07,148.26243261630023,152.77998456473935,148.26243261630023,152.20913696289062,83322600,AAPL
2023-02-08,151.45131927430748,152.14026818212696,148.78408455222657,149.52224731445312,64120100,AAPL
2023-02-09,151.3528593012469,151.89418154841005,148.04589023070798,148.48878479003906,56007100,AAPL
2023-02-10,147.32567733632254,149.17882019931434,147.08909918660703,148.85353088378906,57450700,AAPL
2023-02-13,148.79438841262413,152.0571182724141,148.7648180243575,151.65298461914062,62199000,AAPL
2023-02-14,149.94767374239032,151.57412024796835,148.70567235340334,151.0122528076172,61707600,AAPL
2023-02-15,150.92353288699502,153.27940219693946,150.6968215839401,153.11183166503906,65573800,AAPL
2023-02-16,151.3178281549916,154.09756497312395,151.16012443154224,151.51498413085938,68167900,AAPL
2023-02-17,150.17442580979125,150.8151376986906,148.69584602843153,150.37156677246094,59144100,AAPL
2023-02-21,148.05511953332274,149.1394173925265,146.29068760704538,146.35968017578125,58867200,AAPL
2023-02-22,146.74407109413818,147.80865006019064,145.05849901188733,146.78350830078125,51011300,AAPL
2023-02-23,147.94667430552937,148.1931042440918,145.1373820304515,147.2665252685547,48394200,AAPL
2023-02-24,145.0092263234326,145.0880857046954,143.6390765358812,144.6149444580078,55469600,AAPL
2023-02-27,145.60067024018994,147.039812645864,145.34437348016522,145.8076629638672,44998500,AAPL
2023-02-28,144.9500567570818,146.95106615639693,144.73319726190502,145.30491638183594,50547000,AAPL
2023-03-01,144.73323786008925,145.1275197577975,142.93922063146897,143.2349395751953,55479000,AAPL
2023-03-02,142.31823534576338,144.6149643784106,141.8450789930105,143.82638549804688,52238100,AAPL
2023-03-03,145.9259379185379,148.95210462024477,145.2260853537234,148.8732452392578,70732300,AAPL
2023-03-06,151.59381779613093,154.06798373466975,151.26854354881283,151.6332550048828,87558000,AAPL
2023-03-07,151.50512207262017,151.83041139396585,148.9718301446463,149.43511962890625,56182000,AAPL
2023-03-08,150.62784041964048,151.278419098267,149.66183922588297,150.68698120117188,47204800,AAPL
